mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-9.357,2.161,-1.753,0.6302,1.505,0.806,not_hand_wash
-9.917,2.249,-2.014,0.7136,1.575,0.7163,not_hand_wash
-9.272,1.919,-1.999,0.7386,1.15,0.6296,not_hand_wash
-9.68,2.2,-1.945,0.5947,1.024,0.7135,not_hand_wash
-9.742,2.311,-1.996,0.4401,1.121,0.6485,not_hand_wash
-8.784,2.772,-2.592,1.801,1.232,1.166,not_hand_wash
-10.15,2.918,-1.91,0.6568,1.501,1.113,not_hand_wash
-8.847,2.609,-1.538,0.5119,1.471,0.7276,not_hand_wash
-9.851,2.694,-1.68,0.6674,1.284,0.8067,not_hand_wash
-9.872,2.215,-1.835,0.4513,1.708,0.5861,not_hand_wash
-8.84,3.106,-1.784,0.9263,1.481,0.7612,not_hand_wash
-9.82,2.912,-1.924,0.8961,1.673,0.8405,not_hand_wash
-9.52,3.047,-2.133,1.273,1.468,1.053,not_hand_wash
-8.767,2.074,-2.325,0.9999,1.492,0.8348,not_hand_wash
-10.09,1.972,-2.083,1.202,1.292,0.7932,not_hand_wash
-9.657,2.174,-2.214,0.7752,0.9611,0.7579,not_hand_wash
-9.349,2.076,-1.939,0.7608,1.147,0.8598,not_hand_wash
-9.989,1.997,-1.944,0.6691,1.44,0.6603,not_hand_wash
-9.232,1.755,-1.67,0.7769,1.198,0.8817,not_hand_wash
-9.979,2.744,-2.035,0.971,1.014,0.8204,not_hand_wash
-9.903,2.339,-2.132,0.9394,1.003,0.6911,not_hand_wash
-9.168,2.099,-1.801,0.8592,1.12,0.7861,not_hand_wash
-9.969,1.9,-2.16,1.056,1.574,0.8926,not_hand_wash
-9.354,1.801,-1.86,0.7865,1.44,0.7185,not_hand_wash
-9.913,2.219,-2.069,1.544,0.9833,1.102,not_hand_wash
-10.21,2.746,-2.341,1.178,0.9764,0.8944,not_hand_wash
-9.398,2.147,-1.998,1.042,0.937,0.776,not_hand_wash
-10.42,2.252,-2.222,0.9892,1.285,1.055,not_hand_wash
-9.635,2.078,-3.384,2.567,1.536,1.198,not_hand_wash
-9.746,4.327,-3.696,2.111,1.21,1.907,not_hand_wash
-10.27,2.933,-2.231,1.02,1.218,1.039,not_hand_wash
-9.332,2.191,-2.177,0.731,1.162,0.6743,not_hand_wash
-9.798,2.314,-2.079,0.8425,1.217,0.7648,not_hand_wash
