mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-9.672,2.451,-1.984,1.03,1.059,0.8443,not_hand_wash
-8.637,3.217,-3.546,3.01,-0.4214,2.366,not_hand_wash
-9.771,2.352,-2.155,1.216,1.382,1.311,not_hand_wash
-8.814,2.42,-3.455,2.147,-0.2947,2.057,not_hand_wash
-9.846,2.27,-2.138,0.8539,1.226,0.9379,not_hand_wash
-9.578,2.314,-1.897,0.8037,1.308,0.769,not_hand_wash
-9.48,2.235,-1.822,0.6135,1.384,0.7415,not_hand_wash
-9.726,2.115,-2.055,0.6718,1.179,0.6817,not_hand_wash
-9.555,2.819,-2.088,1.183,1.263,1.044,not_hand_wash
-9.4,2.763,-1.701,0.696,1.598,0.6872,not_hand_wash
-9.471,2.724,-2.093,1.085,1.392,0.9342,not_hand_wash
-9.454,2.181,-2.087,0.9802,1.358,0.8104,not_hand_wash
-9.67,1.945,-1.901,0.7319,1.111,0.8246,not_hand_wash
-9.723,2.417,-1.914,0.9832,1.219,0.8606,not_hand_wash
-9.686,1.986,-2.24,1.2,1.25,0.8767,not_hand_wash
-9.985,2.448,-2.08,1.021,1.014,0.958,not_hand_wash
-9.911,3.27,-3.091,2.144,1.354,1.422,not_hand_wash
-9.779,2.275,-2.086,0.7964,1.345,0.8069,not_hand_wash
1.584,6.548,-3.528,2.715,4.835,2.05,not_hand_wash
-3.51,7.578,-2.655,1.712,3.895,2.662,not_hand_wash
-9.615,2.777,-2.199,1.097,1.82,1.047,not_hand_wash
-9.552,1.54,-1.815,0.5191,1.435,1.244,not_hand_wash
-9.453,0.4659,-1.886,0.2858,0.9849,0.2877,not_hand_wash
-9.47,0.1088,-1.794,0.1253,1.025,0.1514,not_hand_wash
-9.514,1.039,-1.705,0.7459,1.306,1.138,not_hand_wash
-7.259,4.654,-1.633,5.323,2.09,1.542,not_hand_wash
-8.381,7.633,-0.6193,4.748,2.247,2.284,not_hand_wash
-4.927,4.739,-1.667,1.869,6.393,3.754,not_hand_wash
-8.598,3.333,-4.043,2.052,3.131,1.961,not_hand_wash
-8.562,3.109,-3.654,1.898,2.449,1.912,not_hand_wash
-9.279,3.071,-3.178,1.448,2.398,1.419,not_hand_wash
-8.985,2.95,-3.28,1.24,2.414,1.321,not_hand_wash
-8.932,2.478,-3.166,1.193,2.527,1.449,not_hand_wash
-2.607,8.325,-4.396,4.736,1.269,2.716,not_hand_wash
-9.115,2.733,-3.321,1.395,2.974,1.489,not_hand_wash
-9.072,2.939,-3.074,1.573,2.535,1.824,not_hand_wash
